단어,빈도수
남쪽,132
재산,132
클래스,132
아웃,131
성향,131
운영,131
바닥,130
무리,130
개념,130
어르신,130
비판,130
구조,130
도민,130
행사,129
애초,129
앞으로,129
모두,129
가야,129
병신,129
남은,128
안보관,128
의견,128
허경영,127
이명,127
불안,127
연금,127
사용,127
아무도,126
선언,126
권성동,126
부대,126
시기,125
보소,125
갤럽,125
혈세,125
신뢰,125
인기,125
보고,125
자칭,125
대학,124
주위,124
연대,124
민이,124
도움,123
적극,123
피해,123
후보자,123
믿음,122
기관,122
노란,122
역대,122
대결,121
월급,121
증거,121
양념,121
바람,121
차이,121
대구경북,121
비정규직,121
치매,120
명예,120
실패,120
스트롱,120
구걸,120
답변,120
억울,120
해체,120
아무것,120
자랑,119
소름,119
노력,119
바른말,119
남한,119
웃음,119
예전,118
낙동강,118
무상급식,118
제목,118
바다,118
대법원,117
품격,117
3년,117
개발,117
분위기,117
인증,117
운동,116
9일,116
대통령감,116
확인,116
심각,115
젊은이들,115
어른,115
김진태,114
궤멸,114
사상,114
비슷,113
강단,113
비교,113
세대,112
증명,112
부인,112
요구,112
국정원,112
해달,112
고백,112
태도,111
가식,111
일관,111
세월,111
우병우,111
논란,111
유리,111
국제,111
계속,111
전국,110
보도,110
경선,110
위장,110
실제,110
외교,110
남자라면,110
이거,109
협박,109
정의당,109
기분,109
남이,108
유족,108
역전,108
위험,108
기준,108
일부,108
공범,107
전형,107
진주,107
상태,107
안고,107
유일,107
추잡,107
평가,106
침몰,106
양보,106
단어,106
기호,106
귀걸이,106
대신,106
시위,106
행위,105
활동,105
회피,105
표심,105
신경,105
선관위,105
제로,105
진상,104
여당,104
회사,104
희생자,104
주도,104
실수,104
처리,103
차별,103
비겁,103
양강,102
사업,102
마누라,102
큰일,102
인격,102
증세,102
규명,101
싶다,101
임기,101
전술,101
감정,101
감성,101
무죄,101
구태,101
기간,101
게임,101
학교,100
그놈,100
연합,100
클릭,100
정신병자,99
간신,99
삼성,99
철학,99
수치,99
지방,99
군인,99
평정,98
거품,98
재수,98
인사,98
의지,97
희생,97
대응,97
문안,97
낭비,96
해서,96
생활,96
나물,96
마찬가지,96
실현,96
검색,96
망신,95
사랑,95
중심,95
창출,95
분명,95
허위,95
똥줄,95
동성애,95
코스프레,94
변호사,94
헌법,94
장악,94
의료,94
일반,94
예상,94
고발,94
하루,94
버릇,93
우롱,93
어제,93
확장,93
중대,93
냄새,93
산다,93
사이,93
옹호,93
부자,93
주민,92
발표,92
보상,92
공천,92
집결,92
동원,92
청와대,92
변명,91
미안,91
이여,91
고소,91
공산,90
종자,90
정확,90
진영,90
예산,90
잔당,89
이득,89
노예,89
대책,89
위반,89
인재,89
늙은이,89
언급,88
하지,88
치졸,88
법안,88
하나로,88
명단,88
유류,88
전두환,88
실력,88
관계,88
몰이,87
인터넷,87
캠프,87
역풍,87
해외,87
최선,86
엄마,86
아비,86
원칙,86
대다수,86
패권,86
박살,86
훌륭,86
유치,86
일당,86
고요,86
지만,86
이석기,85
안중,85
충격,85
경쟁,85
아빠,85
한나라당,85
창당,84
인상,84
정규,84
핑계,84
조직,84
선거법,84
군가,84
공공,84
자존심,83
경험,83
내일,83
송금,83
동의,83
투자,83
가담,83
정작,83
부채,83
도정,83
통과,83
보수당,82
현명,82
저번,82
경비원,82
목표,82
미수범,82
가지가지,82
고시,82
뿌리,82
고마,82
영원,82
대박,82
근본,81
작전,81
노동,81
리더,81
아가리,81
이해찬,81
혼란,81
경찰,81
대가,81
부정부패,81
쓰레기통,80
역할,80
영화,80
설치,80
언행,80
이참,80
영웅,80
그릇,80
미개,80
좌익,80
대문,80
간신배,79
목적,79
녹조,79
당원,79
막판,78
교수,78
참사,78
관리,78
장관,78
연설,78
퍼센트,78
혁명,78
유력,78
유공자,78
연평,77
목소리,77
인식,77
선출,77
조용,77
뒤통수,77
구분,77
비서실장,76
개뿔,76
효과,76
건강,76
라이,76
몰표,76
지역감정,76
본색,76
기만,76
고집,76
모르나,76
낙선,76
주한,76
차라리,76
기권,76
공장,76
분노,75
무성,75
변화,75
노릇,75
산업,75
막장,75
작자,75
리지,75
매국노,75
좀비,75
정답,75
리스트,75
체크,75
징글,75
포함,75
체제,75
유죄,75
대중,75
공산주의,75
무지,75
한강,74
고용,74
이면,74
결론,74
해전,74
염치,74
뚝심,74
안전,74
국내,74
아라,74
상승,74
무기,74
민족,74
스타일,74
덩어리,74
홍어,74
덕분,73
대안,73
이든,73
자금,73
외국,73
아주,73
불가,73
포퓰리즘,73
가난,73
상대방,73
제외,73
합격,73
깡패,73
철회,72
가관,72
조심,72
다이,72
이성,72
미사일,71
원인,71
적자,71
시국,71
전체,71
사죄,71
부끄러움,71
설명,71
반복,71
공산당,71
4대강,71
주관,71
시험,71
기회주의,71
순수,71
달님,71
권리,71
뇌물죄,71
임금,71
에선,71
국민당,70
10년,70
민주노총,70
파악,70
근거,70
거부,70
현재,70
재미,70
뚜껑,70
도로,70
우려,70
경우,70
견제,70
정체성,70
당신,70
벌레,70
우선,70
교통사고,70
세뇌,69
지역구,69
진행,69
이정희,69
본질,69
파산,69
야동,69
마인드,69
놀이,69
담배,69
다행,69
최소,69
기어,68
공화국,68
하든,68
수석,68
장사,68
연봉,68
천박,68
리다,68
자유민주주의,68
야비,68
불통,68
반문,68
건전,68
확률,68
확대,68
김정일,68
해고,67
방식,67
힐러리,67
소중,67
한나라,67
문화,67
구토,67
추가,67
이지,67
비전,67
살길,67
노망,67
순위,66
폐기,66
20년,66
환수,66
탄생,66
확정,66
고려,66
신기,66
화가,66
방향,66
아아,66
희열,66
자세,66
실천,66
떨거지,65
서해,65
사법,65
숫자,65
위선,65
급식,65
보장,65
민낯,65
추진,65
남재준,65
남북,65
운명,64
이나,64
비율,64
눈앞,64
말투,64
협상,64
연장,64
문후,64
건지,64
진다,64
월남,64
행태,64
사이비,64
드라마,64
업적,64
악질,64
집안,64
지질,64
아니,64
왜곡,63
각종,63
뚜렷,63
적화통일,63
혜택,63
행정,63
개선,63
박멸,63
재개,63
폐쇄,63
하진,63
노친,63
억지,62
남자들,62
종교,62
주의,62
하니,62
폭탄,62
이도,62
평소,62
시키,62
북풍,62
살인,62
상대로,62
장담,61
아줌마,61
고개,61
허구,61
지지도,61
내년,61
위협,61
야합,61
낯짝,61
유선,61
끔찍,61
모아,61
한반도,61
박사,61
이행,61
친노,60
철폐,60
지적,60
시점,60
아래,60
나경원,60
개코,60
당일,60
마련,60
대변,60
김기춘,60
달빛,60
이민,60
여성부,60
파리,60
아이콘,60
미달,60
외면,60
보나,60
추악,60
집중,60
취지,60
실업,59
기반,59
후손,59
개정,59
조장,59
특징,59
재정,59
국가보안법,59
끝장,59
단순,59
악마,59
관광,59
예수,59
압승,59
발생,59
과정,59
강화,59
공신,58
인해,58
협정,58
촉구,58
해도,58
차량,58
짐승,58
수장,58
치사,58
김일성,58
리더십,57
제시,57
면상,57
분산,57
설득,57
금지,57
죽음,57
악용,57
폭행,57
주범,57
소속,57
보기,57
한때,57
보선,57
영감,57
무릎,57
고통,57
강도,57
수호,57
참석,57
공짜,56
침묵,56
고해성사,56
세습,56
지하철,56
해주시,56
타파,56
대행,56
공략,56
영남,56
무상,56
이전,56
리가,56
남발,56
일제,56
자라,56
민정,56
패배,56
똥물,56
천벌,56
선전,55
일반인,55
해대,55
남로당,55
아내,55
죄송,55
비하,55
일등,55
차고,55
가정,55
고인,55
국방,55
김종인,55
폭력,55
지조,55
실체,55
이력서,55
화해,55
베트남,55
30대,55
항쟁,55
덕이,55
최대,55
소수,55
동시,55
테러,54
도둑,54
차원,54
강제,54
수수,54
애도,54
도전,54
유병언,54
감동,54
한국인,54
손학규,54
가리,54
개천,54
밀어,54
유튜브,54
무장,54
혐오,54
마땅,54
어머니,54
표본,54
머릿속,54
지저분,54
평등,53
계산,53
손석희,53
고향,53
결단,53
시체,53
분리수거,53
정체,53
2017년,53
자녀,53
없어,53
송민순,53
도둑놈,52
이슈,52
결국,52
갈등,52
전부,52
의도,52
전문가,52
할아버지,52
잽이,52
반기문,52
아침,52
위원장,52
승부,52
명심,52
기존,52
중소기업,52
호구,52
금강산,52
마이,51
성장,51
의문,51
한계,51
광주,51
페리,51
박연차,51
차지,51
기원,51
동정,51
살림,51
확신,51
국민연금,51
자극,51
사법시험,51
가나,51
소통,51
철저,51
대변인,51
직원,51
응징,51
개탄,51
비아그라,51
현장,51
멍청이,51
특정,51
차차,51
근성,51
안정,51
홍보,51
말라,50
며칠,50
핵심,50
단계,50
청렴,50
든든,50
시진핑,50
수다,50
해상,50
쓸개,50
절반,50
매력,50
사고방식,50
병원,50
폐가,50
계기,50
축하,50
정국,50
내부,50
45년,50
보지,50
야권,50
천하,49
대우,49
물타기,49
퇴출,49
지리,49
근무,49
인양,49
최근,49
간사,49
불의,49
손가락,49
행복,49
운동권,49
방지,49
족속,49
발상,49
추진력,49
측근,49
의사,49
문가,49
국군,49
선진국,49
이란,49
달인,49
따뜻,49
말장난,48
동문서답,48
탈취,48
발광,48
유능,48
박탈,48
사회주의,48
정치가,48
구역질,48
유치원,48
그중,48
패망,48
시네,48
기사단,48
전원책,48
인과,48
한자리,48
충분,47
정보,47
동맹,47
작년,47
통진,47
계획,47
작정,47
다수,47
광고,47
아기,47
예능,47
스스로,47
전환,47
선생,47
추구,47
대학생,47
분당,47
사전,46
아베,46
아치,46
제기,46
상상,46
거덜,46
건설,46
가치관,46
카드,46
계파,46
공작,46
이자,46
한방,46
보전,46
흐름,46
실세,46
승산,46
중단,46
이회창,46
오만,46
전자,46
시도,46
바리,46
공시,46
문자,45
구글,45
여태,45
해주,45
분야,45
칭찬,45
너는,45
비롯,45
시급,45
조국,45
인척,45
각오,45
지로,45
백수,45
생각하는,45
최후,45
수도권,45
허허,45
참고,45
독립,45
장재원,45
애국자,45
슬림,45
와중,45
김학용,45
기부,45
슬픔,45
회복,45
강조,45
주기,44
직업,44
혐의,44
신문,44
동지,44
당의,44
멘트,44
주식,44
타격,44
오랜만,44
박통,44
지율,44
연기,44
보호,44
서울대,44
의석,44
성격,44
행보,44
극치,44
본성,44
등록금,44
이혼,44
양자,44
장병,44
인마,44
미만,44
존중,44
아르바이트,44
홍문표,44
보상금,44
업체,44
민주화,44
지배,44
뼛속,43
전시,43
방산,43
회장,43
핵무기,43
매국,43
박수,43
장군,43
머저리,43
사망,43
지인,43
썰전,43
악의,43
오줌,43
사안,43
후안무치,43
동감,43
나발,43
공직,43
사장,43
이용한,43
제거,43
자상,43
비서,43
그림,43
비방,43
석방,43
지랄,43
발목,43
총리,43
로맨스,43
인간성,42
농담,42
은근,42
구구절절,42
의무,42
현상,42
지자,42
표정,42
정유,42
노태우,42
쥐새끼,42
엉터리,42
유시민,42
영혼,42
내각,42
충성,42
경력,42
직장,42
지옥,42
자폭,42
도지,42
경상남도,42
회고록,42
게이트,42
해산,42
여부,42
반영,42
이기,42
관대,42
인터뷰,42
지향,42
요번,42
교도소,41
명확,41
사직,41
편향,41
아픔,41
저급,41
기지,41
혈기,41
나일론,41
신고,41
모델,41
선거일,41
박순자,41
메인,41
한참,41
동물,41
흑자,41
기도,41
앞날,41
잔머리,41
정이,41
똥개,41
지식,41
주둥아리,41
자료,41
내시,41
정서,41
대처,41
한숨,41
입당,41
자기,41
격차,41
