단어,빈도수
라면,151
아무것,151
생활,151
취급,151
정직,150
주제,150
세대,150
가자,149
학생,149
포용,149
몰이,148
처리,148
신경,147
아버지,147
현명,147
강성,147
짜증,147
일반,146
감옥,146
떳떳,146
삼성,144
막말,144
보소,144
국민당,144
연대,143
유지,143
대가리,142
폭탄,142
합의,142
실천,142
정계,141
존경,140
교사,140
차기,140
대신,140
전문가,140
사상,139
후보자,139
순간,139
수저,138
부담,138
이보,138
정체성,138
위험,138
안전,138
모두,138
재원,138
예전,137
미군,137
안정,137
통신,137
인재,136
성공,136
위반,136
티브이,136
비슷,135
선관위,135
대책,135
북괴,135
정작,135
비방,134
중도,134
사장,134
바닥,134
남한,134
박정희,134
환영,133
철회,133
양산,133
리얼미터,133
요구,132
짓거리,132
이념,132
거부,131
문후,131
큰일,131
코리아,131
분위기,130
아무도,129
변화,129
혐오,129
경험,129
야당,129
예상,129
장악,129
고민,129
고요,129
주도,128
해외,128
자살,128
포퓰리즘,128
본부장,128
폐가,128
투자,127
남발,127
서울대,127
상태,126
거품,126
포함,126
옹호,126
성적,126
운전,126
임기,125
해서,125
욕심,125
홍보,124
대권,124
인식,124
반문,124
협박,123
참신,123
평등,123
제기,122
달님,122
역대,122
아침,122
금지법,122
착각,122
지적,122
가야,122
게이,122
광주,121
대학,121
일부,121
트럭,121
남북,121
오만,120
생명,120
노예,120
보고,120
청소,120
가치,120
목소리,119
당일,119
상대방,119
기준,119
모양,119
김종인,118
인증,118
의도,118
마련,118
성향,118
임금,118
아아,118
단어,118
혜택,117
홍이,117
순위,117
협상,117
유시민,117
눈물,117
병신,117
헌법,116
사업,116
하지,116
자금,116
자식들,116
재수,116
숫자,116
데이터,115
부자,115
젊은이들,115
득표,115
독재,115
예산,115
비열,114
연봉,114
대통령감,114
혈세,114
친북,114
항쟁,114
대처,114
내세,114
강력,114
안랩,113
감방,113
계속,113
개선,113
실력,113
보상,113
이하,113
의지,113
자녀,113
피해자,112
인상,112
지도,112
입사,112
신문,112
미사일,112
용서,112
메인,112
애초,111
국군,111
혼란,111
안고,111
클래스,111
바람,111
개념,110
갑지,110
아웃,110
공산주의,110
아저씨,109
패배,109
행위,109
해주시,109
자랑,109
개판,108
추진,108
패싱,108
구조,108
비용,108
자질,108
30대,108
도발,107
인하,107
친일,107
동의,107
레드,107
표심,107
사이트,106
대다수,106
연합,106
총리,106
이여,106
외국,106
접전,105
취향,105
기분,105
기권,104
보장,104
경우,104
경찰,104
인기,103
업체,103
어르신,103
경호원,103
반복,103
증명,103
후회,103
예비군,103
불통,102
최소한,102
건지,102
아라,102
분노,102
남이,102
의무,102
복무,101
알파,101
유치원,100
이석기,100
평가,100
사태,100
시급,100
강화,100
증세,100
행사,100
구도,100
차선,100
패망,100
희생,99
이력서,99
변명,99
꼼수,99
성장,99
뚜껑,99
솔직,99
학교,99
공산,99
연방제,98
근거,98
앞으로,98
슬림,98
그릇,98
법제,98
조심,98
친노,98
유튜브,98
동네,98
원칙,97
계산,97
발의,97
보호,97
정리,97
방심,97
수석,97
평화통일,96
이전,96
추천,96
전체,96
주자,96
창피,96
우선,96
월남,95
유포,95
휴대폰,95
구체,95
격차,95
그놈,95
소렌토,95
군가,95
제시,94
수치,94
역할,94
청문회,94
불가,94
오지,94
철저,94
청렴,94
전교조,94
문화,93
웃음,93
고압,93
친일파,93
기부,93
위협,93
확대,93
주민,93
카드,93
민정,93
대가,93
회의,92
발생,92
결론,92
소득,92
실드,92
다행,92
김정일,91
재개,91
법인,91
북한군,91
선진국,91
아르바이트,91
유일한,91
의사,91
달인,91
남성,91
똥줄,91
감정,91
모닝,91
범죄,91
교통사고,91
고려,90
정답,90
구걸,90
이면,90
남은,90
양아치,90
무료,90
파악,90
도덕,90
정원,90
대안,90
무지,90
억지,89
할배,89
민주화,89
비전,89
공략,89
엄마,89
임용,89
국방,88
신천지,88
선거법,88
내각,88
부정부패,88
저질,88
삭제,88
분명,88
뿌리,88
정보원,88
유리,87
공산당,87
실업,87
경상도,87
역전,87
이슈,87
죽음,87
통수권자,87
아주,87
코스프레,87
제정신,87
벌레,87
끝장,86
훈련,86
무리,86
단순,86
막판,86
공작,86
검사,86
출마,86
충격,86
언급,86
근무,86
환자,86
구분,86
무선,86
척결,86
힐러리,85
일관,85
기존,85
환수,85
이성,85
정보,85
인성,85
핵심,85
혁신,85
고마,85
햇볕정책,85
가격,85
싶다,85
작전,84
옛날,84
연장,84
규제,84
가슴,84
조용,84
영입,84
역풍,84
차원,84
남자들,83
훌륭,83
서류,83
강간,83
퍼센트,83
며칠,83
계층,83
미세먼지,83
지향,83
관광,83
마찬가지,83
장사,83
동문서답,83
최선,83
약자,83
5년,83
다수,82
시스템,82
제외,82
소중,82
이든,82
포스터,82
확신,82
최대,82
표본,82
버릇,82
근로자,81
마인드,81
민간,81
태극기,81
4대강,81
설치,81
짐승,81
문건,81
업적,81
전형,81
산하,80
아내,80
단호,80
의문,80
대변인,80
국내,80
순수,79
물타기,79
에선,79
박사,79
행태,79
달빛,79
김미경,79
사이,78
사전,78
리다,78
이민,78
반박,78
리본,78
변경,78
조장,78
각종,78
애잔,78
절박,78
피부,78
미친놈,78
통화,77
유치,77
내일,77
플랜,77
이득,77
관리,77
염병,77
바다,77
외면,77
별거,77
마누라,77
후손,77
종교,77
리더,77
적절,77
직장,77
정유,76
냄새,76
단말기,76
징글,76
대우,76
비고,76
은폐,76
영상,75
베트남,75
더불어민주당,75
취직,75
지시,75
무기,75
이지,75
조치,75
현재,75
도배,75
계승,75
극우,75
최소,75
주식,75
특정,75
반기문,75
확정,75
자수성가,75
김칫국,75
검색어,74
공시,74
공식,74
영남,74
언론사,74
만세,74
자칭,74
민노총,74
유력,73
가정,73
아동,73
해소,73
건강,73
애자,73
상관,73
목표,73
기술,73
인격,73
실시간,73
효과,72
휴전,72
폐기,72
신해철,72
명확,72
우롱,72
중심,72
출석,72
대비,72
긴장,72
취지,72
전술,72
여론몰이,72
가관,72
똥구멍,72
은행,72
계약,72
오차,71
해대,71
수업,71
위원회,71
칭찬,71
사표,71
부문,71
테러,71
시도,71
추가,71
전두환,71
축제,71
방향,71
호구,71
해체,71
화가,71
찬양,71
공고,70
탈모,70
치료,70
손학규,70
일당,70
결집,70
의정,70
승부,70
진행,70
분야,70
기사단,70
허구,70
목적,70
인터뷰,70
운명,70
국제,70
치졸,70
고집,69
핸드폰,69
고위,69
신념,69
놀이,69
직후,69
발상,69
재판,69
여태,69
업무,69
압승,69
측근,69
확률,69
편파,69
가식,69
조갑제,68
정서,68
앞뒤,68
한계,68
촉구,68
자연,68
코미디,68
덩어리,68
전환,68
배신,68
어른,68
허용,68
한겨레,68
유능,67
이성애,67
트집,67
특징,67
출근,67
해석,67
배후,67
악마,67
명분,67
특채,67
개입,67
실체,67
국물,67
소속,67
급여,67
벌금,66
탈당,66
좌우,66
유공자,66
적화통일,66
10년,66
내부,66
꼬투리,66
기사도,66
지만,66
해먹,66
신기,66
반영,66
밥그릇,66
파리,66
방안,66
도입,65
주둥이,65
위로,65
박빙,65
국방백서,65
절반,65
저축,65
게이트,65
미안,65
실행,65
시행,65
좌표,65
연설,65
특별법,65
말장난,65
행보,65
관계자,65
공장,65
안달,65
부채,65
규정,64
비서,64
투명,64
평균,64
유무선,64
철학,64
설득,64
걸레,64
지지가,64
화합,64
민족,64
군사,64
말라,64
엉터리,64
멍청이,64
통일부,63
정체,63
이회창,63
4월,63
그리스,63
특별,63
조기,63
모르나,63
2017년,63
지역감정,63
부활,63
시네,63
안심,63
깔끔,63
만도,63
참사,63
김기춘,63
대학생,62
정치판,62
낭비,62
개뿔,62
수당,62
탄생,62
광고,62
포털,62
지자,62
객관,62
박쥐,62
면접,62
위원장,62
세월,62
대인,62
제한,62
점령,62
추종자,62
감동,62
김한길,62
방산,62
구매,62
문가,61
현상,61
지급,61
포장,61
계획,61
허락,61
환경,61
가구,61
지령,61
개정,61
범위,61
꼰대,61
이도,61
보복,61
상승,61
공짜,61
노릇,61
당원,61
참석,60
리가,60
경남,60
워크,60
운동권,60
부사장,60
양자,60
제주,60
내역,60
대중,60
한자리,60
갈등,60
인구,60
유일,60
백신,60
부부,60
작업,60
기록,60
증빙,60
방문,60
취약,60
기리,60
리스,60
식비,59
제로,59
아래,59
남부,59
중대,59
이때,59
강요,59
살인,59
최저,59
과반,59
작작,59
휴가,59
선생,59
동영상,59
가도,59
진영,59
장병,59
잽이,59
실명,58
범죄자,58
납품,58
차고,58
법인세,58
말꼬리,58
지라시,58
원인,58
반응,58
거절,58
진다,58
감시,58
집중,58
기동대,58
참고,57
애국,57
미개,57
낙선,57
미달,57
이해찬,57
제안,57
단계,57
유세장,57
믿음직,57
반발,57
만만,57
플레이,57
고통,57
품격,57
배달,57
박원순,57
보지,57
추종,57
시국,57
아이콘,57
선거일,57
인해,57
도둑,56
핑계,56
아비,56
집안,56
종자,56
언론인,56
구토,56
끔찍,56
평소,56
시점,56
최근,56
모순,56
병원,56
이자,55
덕분,55
실세,55
직업,55
세뇌,55
밀어,55
지방,55
동시,55
작정,55
악의,55
김일성,55
김영란,55
하나로,55
휴일,55
어마어마,55
야비,55
일반인,55
초딩,55
국익,55
천명,55
하진,55
여성부,54
셀프,54
와중,54
주인,54
시즌,54
경영,54
항의,54
기무사,54
카리스마,54
편지,54
현혹,54
감성,54
요새,54
추잡,54
리지,54
발목,54
연락,54
상상,54
해도,54
흉악범,54
예측,53
충이,53
퇴진,53
파도,53
겸손,53
전문,53
확보,53
박영선,53
합당,53
지지도,53
여당,53
명예,53
적용,53
패권주의,53
지로,53
지난번,53
라가,53
파산,53
아니,53
수고,53
거대,52
민생,52
민이,52
사이다,52
유학,52
대동,52
동생,52
악질,52
호도,52
투쟁,52
한쪽,52
하든,52
입대,52
문안,52
본질,52
참모,52
고향,52
전작,52
물가,52
파란,52
백수,52
적임자,52
자서전,52
체제,52
인원,52
고개,52
회장,52
형님,52
찬반,52
사이비,52
정신병,52
구글,51
대변,51
수상,51
몰표,51
이나,51
상처,51
갤럽,51
요청,51
자라,51
타격,51
모호,51
모아,51
재정,51
밥통,51
영어,51
과실,51
상대로,51
이중,51
제출,51
적도,51
김무성,51
영화,51
발광,51
아파트,51
해달,51
집행,51
경력,51
연구,51
신중,51
지사,51
구청장,50
이란,50
기획,50
침묵,50
실질,50
아줌마,50
보세,50
어쩌라고,50
지식,50
고충,50
활성,50
시비,50
예의,50
늙은이,50
의석,50
연평도,50
자영업자,50
좋아서,50
타파,50
비겁,50
주의,49
프린터,49
접속,49
폐인,49
수정,49
도시,49
퇴직금,49
보나,49
하락,49
사돈,49
충분,49
노래,49
말투,49
해주,49
나발,49
기어,49
꼴찌,49
이참,49
배로,49
조건,49
폭동,49
오후,48
이동,48
실시,48
가동,48
후퇴,48
압박,48
제공,48
저도,48
차지,48
남녀,48
삼겹살,48
사항,48
하태경,48
