단어,빈도수
하늘,157
야당,156
끝장,156
조금,155
예전,155
앞으로,154
충원,154
후보자,154
전문가,154
한겨레,154
무식,153
국정원,153
삭제,152
선관위,152
복지,152
관리,152
손석희,152
포함,151
대통령감,150
양당,150
대화,150
행복,149
미터,149
제시,149
구조,149
근거,148
동네,148
귀족,148
기준,148
확대,147
대신,147
모닝,147
데이터,147
대가리,147
아무도,147
순간,147
기가,146
이익,146
자살,146
내일,146
전국,146
정확,146
강화,145
제갈량,144
제기,144
시민,144
큰일,144
게임,144
후회,144
V3,144
통장,143
친노,143
반장,143
전두환,143
정리,142
영입,142
격차,142
욕심,142
남은,141
이력서,141
역전,141
그릇,141
꼬락서니,141
대다수,141
득표,140
도덕,140
청와대,140
중소기업,140
차별,140
투명,139
지도,139
비방,139
신해철,139
가야,139
눈치,139
승부,139
일반,139
고마,138
공공,138
장관,138
배치,138
비용,138
적임자,138
레드,138
차기,137
이하,137
의지,137
코스프레,137
행사,137
눈물,137
유튜브,137
학비,136
짓거리,136
경험,135
정계,135
경상도,135
특정,135
당당,135
집안,134
개소리,134
국공립,134
확장,134
미안,134
최소한,134
디스,133
신천지,132
역대,132
성향,132
시기,131
정체,131
단체,131
생명,131
처벌,131
바람,130
개그,130
정답,130
역풍,130
해서,130
제정신,130
수사,130
구도,130
표현,129
패권주의,129
적화통일,129
김영란,129
고요,128
박쥐,128
소통,128
건지,128
지질,127
보고,127
실드,127
일본,127
총리,127
문후,127
웃음,127
정작,126
슬림,126
최선,126
양아치,126
초등학교,126
가치,126
김한길,126
경우,126
등록,125
장악,125
주자,125
여성부,125
옛날,124
자세,124
안정,124
하지,123
젊은이들,123
유지,123
말투,123
평가,122
사태,122
할배,122
구분,122
감정,121
성완종,121
의사,121
애초,121
강력,121
위험,121
결집,121
계속,121
지성,120
다운,120
정보,120
비열,120
훈련,120
합격,120
자금,120
검소,120
안전,119
규제,119
외교,119
영상,119
클래스,118
저질,118
성장,117
독립,117
남이,117
개고기,117
자랑,116
공동,116
대문,116
출마,116
강간,116
특별,116
철새,116
조중동,116
선언,116
여론몰이,115
현장,115
유기,115
유포,115
대박,114
원장,114
어르신,114
내각,114
불통,113
발악,113
이전,113
방식,113
아이콘,113
표심,113
역할,113
반문,113
퍼센트,112
구속,112
이승만,112
마찬가지,112
선진국,112
순위,112
인터뷰,112
집중,112
