단어,빈도수
이마트,59
이면,59
처가,59
당원,59
이다윤석열,58
덩어리,58
명분,58
남성,58
급여,58
아바타,58
의사,58
재앙,58
조중동,58
하늘,57
확인,57
유승민,57
해체,57
재벌,57
학력,57
최소한,57
일자리,56
현명,56
당시,56
대부분,56
느낌,56
의견,56
부친,56
보고,56
목적,56
사태,56
유죄,56
엄마,56
혐의,56
우파,56
접종,56
조장,56
재판,56
제시,55
요양,55
건강,55
과정,55
원래,55
성남,55
개입,55
회사,55
3월,55
도세,55
연기,55
구체,55
양당,55
국회의원,54
감정,54
노무현,54
태도,54
무속인,54
인성,54
차이,54
우롱,54
일제,54
횡령,54
기축,54
재원,53
와이프,53
9일,53
적극,53
국방,53
이명박,53
언급,53
철학,53
모양,53
간다,53
혈세,53
기자회견,53
생명,53
예전,52
하루,52
사법부,52
도사,52
망신,52
설득,52
사이,52
일부,52
운동권,52
감사,51
조금,51
포기,51
기관,51
민족,51
동문서답,51
상태,51
놀이,51
유능,51
각종,51
담배,51
청산,51
기억,50
경우,50
취급,50
처리,50
갈라,50
회장,50
변명,50
통합,50
아파트,50
역할,50
구분,50
리가,50
기준,50
핵심,50
가야,50
수급,50
노동,49
합의,49
전체,49
이하,49
이력,49
타령,49
머릿속,49
복지,49
종자,49
요구,49
이미지,49
불안,49
그네,49
멸치,49
항문,49
결혼,49
매국노,49
충성,49
민주화,48
가자,48
학생,48
표현,48
소상,48
장제원,48
압도,48
촛불,48
토건,48
조선,48
고민,48
유튜브,48
정작,47
오만,47
자살,47
계획,47
들통,47
고통,47
주둥이,47
노릇,47
이득,47
억지,47
시기,47
의식,47
이다안철수,46
최대,46
히틀러,46
신뢰,46
농촌,46
말씀,46
근거,46
곽상도,46
법가,46
최저,46
통장,46
저질,46
야권,46
사드,46
나머지,45
애초,45
대안,45
위기,45
구라,45
인상,45
주위,45
막말,45
진영,45
제정신,45
분노,45
기피,45
해서,45
아내,45
파악,45
의지,45
용서,45
반공,45
부서,45
짜증,45
열망,45
신경,45
해외,44
바닥,44
보험,44
대형,44
간첩,44
공인,44
큰일,44
꼭두각시,44
망언,44
무마,44
직업,44
꼴통,44
시급,44
장악,43
발악,43
아니야,43
네거티브,43
통제,43
협박,43
관리,43
대다수,43
클럽,43
이완용,43
당일,43
가난,43
참여,43
진행,43
거래,43
형수,43
흡연자,43
동물,43
자유민주주의,43
성남시,43
사주,43
효과,43
해먹,42
녹취,42
양반,42
보료,42
포함,42
분야,42
차장,42
코미디,42
패거리,42
대남,42
유산,42
김정은,42
방식,42
농민,42
깡패,42
옛날,42
바람,42
낭비,42
윤석열윤,42
중대,41
선수,41
의료,41
포장,41
손바닥,41
실현,41
집중,41
존경,41
다리,41
윤윤석열,41
연설,41
대장,41
진짜,41
배치,40
생활,40
멍청이,40
철회,40
무기,40
목표,40
왜구,40
은퇴,40
희생,40
악질,40
부실,40
동업자,40
나경원,40
추미애,40
알바,40
남이,40
이슈,39
색깔,39
원칙,39
위성,39
사회주의,39
차기,39
개표,39
구태,39
가정,39
환경,39
청약,39
리스크,38
사상,38
모녀,38
합리,38
결론,38
부동시,38
취업,38
정리,38
소신,38
무리,38
허수아비,38
증명,38
사악,38
대구,38
장교,38
김종인,38
부사관,38
기간,38
왜곡,38
대가,38
제한,37
젠더,37
장사,37
안다,37
모병제,37
폭탄,37
근무,37
마련,37
헌법,37
정연,37
부자,37
범인,37
분이,37
이력서,37
자식들,37
목사,37
경찰,37
환수,37
전과자,37
개념,37
문화,37
작전,36
목소리,36
반복,36
농업,36
대결,36
게임,36
평가,36
여자부,36
차별,36
남발,36
현재,36
수익,36
라면,36
도이치,36
정직,36
조선족,36
이다윤,36
과학,36
혐오,36
식구,35
낙선,35
삼부,35
선진국,35
주택,35
마스크,35
잽이,35
집구석,35
도둑놈,35
위반,35
가부여,35
상상,35
대의,35
인식,35
도망,35
대책,35
원고,35
최소,35
이도,35
초밥,35
불공,35
도박,34
지방,34
편파,34
어이,34
용지,34
실체,34
참모,34
지원금,34
자영업자,34
행보,34
배신자,34
동원,34
후회,34
보상,34
주사파,34
침략,34
법정,34
구걸,34
하지,33
등장,33
역량,33
젊은이들,33
간부,33
표정,33
뇌물,33
직원,33
방해,33
삼성,33
계속,33
잔고,33
공수,33
윤석열이재명,33
봉급,32
남자들,32
이전,32
마찬가지,32
미필,32
인증,32
농사,32
행정,32
가슴,32
선거법,32
윤석열안철수,32
박정희,32
자금,32
학교,32
합류,32
사장,32
예상,32
주의,32
재정,32
집값,32
손가락,32
호감,32
미군,32
탄압,32
방향,32
추가,32
개미,32
정보,32
부처,32
실드,32
함량,31
불가,31
초보,31
수구,31
방어,31
대학,31
요양원,31
전국,31
뿌리,31
부탁,31
토착,31
좌우,31
경쟁,31
병역,31
앞뒤,31
국방력,31
의도,31
파멸,31
신세계,31
최선,31
총선,31
치료,31
안전,31
상대로,31
박살,31
전형,31
여성부,31
원전,31
달인,30
리더,30
사표,30
개선,30
상관,30
족발,30
광주,30
대비,30
독재자,30
제도,30
산업,30
욕설,30
복무,30
이자,30
입양,30
모터스,30
자세,30
상납,30
착각,30
확보,30
계산,30
만세,30
기생충,30
플레이,30
사형,30
보나,30
중앙,30
약속,30
자존심,30
최저임금,29
가관,29
거품,29
윤미향,29
카르,29
염원,29
기분,29
윤윤,29
자극,29
자산,29
영입,29
아기,29
극우,29
소환,29
식량,29
이재명이재명,29
감성,29
혁명,29
여야,29
사죄,29
탄로,29
담당,29
확률,29
매입,29
활동,29
보장,29
직장,29
해당,29
꼰대,29
우선,29
고시,29
애국,29
객관,29
구두,29
유착,29
구역,28
종전,28
지급,28
회복,28
바지,28
국회,28
민생,28
작업,28
아빠,28
행태,28
인기,28
파도,28
범위,28
성공,28
중심,28
홍보,28
말장난,28
출산,28
바리,28
눈물,28
윤석열대장동,28
사칭,28
반응,28
중국인,28
다수,28
기술,28
뒤통수,28
발사,28
비용,28
앞으로,28
오세훈,27
지질,27
공짜,27
대기업,27
보험료,27
탈탈,27
금액,27
물타기,27
발생,27
소통,27
건강보험,27
교도소,27
내일,27
자주국방,27
특혜,27
하락,27
신문,27
화가,27
대변인,27
기단,27
5년,27
다운,27
한일,27
하나로,27
현장,27
주가,27
연습,27
캠프,26
미접,26
방안,26
지시,26
인구,26
다행,26
버스,26
중계,26
주도,26
금지,26
설계,26
군부,26
김혜경,26
이여,26
일당,26
경기도,26
평소,26
부세,26
이낙연,26
특권,26
경심,26
약자,26
아래,26
내부,26
흐름,26
안중,26
물건,26
실세,26
결집,26
남은,26
문자,26
봉사,26
새끼,26
수단,26
논쟁,26
조정,26
아무도,26
전권,25
실제,25
공범,25
강요,25
주머니,25
분위기,25
안철수윤석열,25
비호,25
제공,25
이다이재명,25
걸레,25
횡설수설,25
도리도,25
경상도,25
안철수윤,25
푸틴,25
시험,25
분석,25
주인,25
패배,25
국민의당,25
확신,25
할머니,25
다윤석열,25
계좌,25
똥줄,25
잣대,25
경영,25
유치원,25
어리,25
언론사,25
시행,25
사이비,25
파리,25
반박,25
퇴출,24
국방비,24
노예,24
네이버,24
스트레스,24
김대중,24
원인,24
행사,24
투쟁,24
명령,24
정의당,24
영상,24
비서,24
감시,24
변화,24
관련자,24
부정부패,24
며칠,24
대한민국윤석열,24
믿음,24
꼬리,24
확진,24
비방,24
연애,24
소득,24
21세기,24
위원,24
발상,24
동맹국,24
거덜,24
열사,24
권성동,24
정체,24
이중,24
날짜,24
윤강,24
신고,24
독도,24
벼락,24
시진핑,24
인터뷰,24
인격,24
한국인,24
실천,24
입대,24
토론토론,24
도발,24
아저씨,24
여가,24
약점,24
부하,24
중간,24
순이,24
냄새,24
사병,24
경련,24
대응,24
성격,23
의자,23
비하,23
반장,23
수입,23
식민지,23
가입,23
차원,23
연락,23
형님,23
추구,23
타협,23
표심,23
논문,23
후손,23
옹호,23
국익,23
연루,23
배려,23
대우,23
참석,23
공략,23
피의자,23
세뇌,23
토론장,23
시점,23
불량,23
진출,23
제명,23
미담,23
하사,23
권력자,23
호소,23
안철수철수,23
정계,23
대통령후보,23
막무가내,23
통일,23
침묵,23
김재원,23
선출,23
불편,23
한방,23
도전,23
사문서,23
주둔,23
자녀,23
수법,23
제가,23
노조,23
음주운전,23
호구,23
제외,23
탈모,23
영화,23
모욕,23
총리,23
업무,23
페미니즘,22
환장,22
논란,22
무용,22
한자리,22
태극기,22
악마,22
반려,22
서방,22
대박,22
노동자,22
부스,22
생떼,22
의존,22
지능,22
이재명윤석열,22
그릇,22
고소,22
주술,22
정답,22
최근,22
법치,22
임금,22
운명,22
잔치,22
광화문,22
수행,22
구둣발,22
손해,22
모르나,22
응답,22
원희룡,22
감염,22
그간,22
기록,22
사과문,22
법인,22
기초,22
과외,22
논의,22
법조,22
식당,22
루킹,22
몰이,22
조종,22
유기,22
수치,22
후퇴,21
어른,21
인재,21
공신,21
대기,21
지검,21
위선,21
한쪽,21
재미,21
최종,21
시골,21
식품,21
품격,21
왕자,21
상습,21
편법,21
취조,21
득표,21
치졸,21
천하,21
성범죄,21
생태,21
읽기,21
확대,21
소고기,21
대통령감,21
정신병자,21
청문회,21
환자,21
보유,21
외면,21
등록,21
개뿔,21
법조인,21
법관,21
만도,21
전반,21
동거,21
연구,21
훈련,21
작정,21
일방,21
침해,21
잔머리,21
머저리,21
연결,21
용기,21
일반인,21
혼란,21
회의,21
수작,21
폭등,21
양평,20
거주,20
척결,20
엉터리,20
존중,20
앵커,20
분탕,20
좋아서,20
덕분,20
대변,20
김학의,20
결국,20
우연이,20
폭탄주,20
유시민,20
판검사,20
정경,20
시위,20
연관,20
동의,20
사망,20
직전,20
법무부,20
반발,20
접대,20
된다,20
수저,20
철수안철수,20
선고,20
제목,20
내세,20
고려,20
설치,20
된장,20
순위,20
우연,20
감당,20
장소,20
리더십,20
어제,20
글자,20
근로기준법,20
연금,20
성장,20
기능,20
안정,20
천박,20
대세,20
취재,20
여태,20
차고,20
연장,20
조카,20
군림,20
불의,20
멸공멸공,20
지역감정,20
통일부,20
백화점,20
30대,20
사기꾼들,20
신발,20
본질,20
사준,20
순수,20
괴물,20
집행,20
일상,20
한겨레,19
죽음,19
찰스,19
강아지,19
자동,19
가죽,19
출연,19
어르신,19
저급,19
성향,19
기차,19
사익,19
백성,19
위협,19
속내,19
통치,19
연합,19
정상인,19
하든,19
역선택,19
기재,19
여기저기,19
이재명안철수,19
침공,19
가족사,19
설계자,19
지적,19
사고방식,19
악의,19
바른,19
번호,19
입원,19
승부,19
공식,19
데이터,19
공화당,19
주자,19
지배,19
안보관,19
대중,19
거란,19
전부,19
빈곤,19
단속,19
사유,19
강점기,19
처단,19
찬양,19
독일,19
재직,19
증명서,19
언행,19
토론윤석열,19
지옥,19
기호,19
앞잡이,19
스스로,19
시도,19
신념,19
한말,19
작자,19
경기,19
기반,19
불통,19
규제,19
구조,19
후보대통령,19
독립,19
성질,19
이다여,19
소름,19
결단,19
초짜,19
가능,19
지향,19
차지,18
자신감,18
대처,18
실질,18
혜경,18
유일한,18
필수,18
한참,18
현혹,18
유포,18
마나,18
가산,18
새벽,18
직불,18
청소,18
인해,18
친북,18
트럼프,18
윤안철수,18
선전,18
전환,18
자진,18
당내,18
수호,18
한계,18
영웅,18
통과,18
사회자,18
초등,18
오빠,18
멘트,18
안달,18
규칙,18
성추행,18
제라,18
이윤,18
창출,18
아이들,18
상승,18
환영,18
마무리,18
해대,18
적반하장,18
이장,18
해도,18
매국,18
사안,18
최대한,18
현상,18
거절,18
실언,18
충격,18
성매매,18
애국자,18
피눈물,18
율도,18
국내,18
버릇,18
고의,18
관계자,18
군가,18
기본소득,18
아비,18
국방의,18
오죽,18
웃음,18
부가,18
이재명윤,18
에선,18
청렴,17
이참,17
남북,17
시스템,17
몰표,17
역전,17
역풍,17
중증,17
조차,17
당위,17
기도,17
장기,17
언어,17
칭찬,17
도입,17
기어,17
국고,17
확정,17
진입,17
시청,17
연대,17
후쿠시마,17
다이,17
파괴,17
FC,17
윤서,17
김일성,17
할배,17
아부,17
아침,17
민낯,17
기존,17
스타일,17
가치관,17
임기,17
도적,17
말말,17
수출,17
종이,17
시국,17
악랄,17
특수,17
제출,17
고용,17
추천,17
코스프레,17
가가,17
파이팅안철수,17
의문,17
고양이,17
방사능,17
절반,17
반면,17
굿판,17
근본,17
천재,17
와중,17
농지,17
윤리,17
탄생,17
아줌마,17
고요,17
부류,17
대만,17
북괴,17
기본권,17
심정,17
먼지,17
배우자,17
선심,17
10년,16
박멸,16
자라,16
판세,16
도배,16
이기,16
작성,16
자백,16
저출산,16
베트남,16
작품,16
체제,16
안중근,16
단계,16
구직,16
끝판,16
음식,16
플랫폼,16
실행,16
안일,16
조상,16
정은,16
김대업,16
청소년,16
문서,16
조치,16
이권,16
지하,16
유출,16
손실,16
제로,16
딴소리,16
유감,16
이한열,16
자인,16
추적,16
희대,16
가도,16
원숭이,16
저번,16
이성,16
도시,16
관이,16
A4,16
구매,16
공직자,16
인민,16
촉새,16
거만,16
구호,16
빙하,16
무대,16
로비,16
이다토론,16
엉망,16
허용,16
서울대,16
밥그릇,16
오차,16
병장,16
압박,16
수용,16
무소불위,16
핵폐기물,16
대항,16
시설,16
윤석열정권,16
마인드,16
우려,16
장병,16
극치,16
법안,16
지지도,16
노래,16
지성,16
천지,16
산다,16
기생,16
소시,16
쿠데타,16
기독교,16
개편,16
