단어,빈도수
부분,35
이지,35
스피커,35
검사,35
협력,35
취급,35
당시,34
연대,34
주변,34
생활,34
사랑,34
호소,34
지방,34
티브이,34
하루,34
비슷,34
대상,34
애초,34
일부,34
칩거,34
누가,33
비정규직,33
발파,33
프레임,33
사이다,33
기가,33
충격,33
장난,33
신뢰,33
구걸,33
최악,33
소인,33
개념,32
탈당,32
이중,32
재앙,32
후회,32
전문가,32
실수,32
여자부,32
중심,32
계산,32
정답,32
보유,32
명분,32
원인,32
노총,32
사촌,32
진보당,31
개정,31
해외,31
출신,31
사장,31
항동,31
관계,31
보험,31
어제,31
기준,31
가해,31
자업자득,31
소임,31
의무,31
감옥,31
노동운동,31
꼴통,31
너는,30
집안,30
역차별,30
고통,30
비전,30
당신,30
조직,30
한명숙,30
한때,30
퇴출,30
문신,30
덩어리,30
초심,30
따까리,30
결혼,30
장모,30
수호,30
현대자동차,30
극우,30
계층,30
바른,30
본질,30
보지,30
강제,30
논란,29
노동당,29
체제,29
부탁,29
해명,29
옛날,29
통일부,29
진실,29
구분,29
숙고,29
참석,29
미만,29
내야,29
폭약,29
형수,29
원칙,29
석사,29
전체,29
시장,29
쇄신,29
고발,28
목숨,28
보장,28
존경,28
대가,28
성소수자,28
설치,28
구태,28
재원,28
악법,28
수구,28
교육,28
전국,28
색깔,28
시기,28
집권,28
소멸,28
차이,28
심판,28
변화,28
싸움,27
표현,27
20대,27
발표,27
부모,27
전락,27
최대,27
건지,27
증거,27
해먹,27
코로나,27
경우,27
의료,27
간판,27
기축,27
자랑,27
실패,27
신천지,27
평가,27
도입,27
죽음,27
보도,27
우파,27
초등학교,27
청와대,27
환영,27
부처,27
메가,27
위로,26
정체,26
대답,26
기어,26
하지,26
진영,26
자처,26
급여,26
앞으로,26
상대,26
일조,26
혜택,26
신임,26
구역,26
하늘,26
자금,26
이전,26
수단,26
지하철,26
행태,26
전략,26
전화,26
부대,26
하청,26
관리,26
심플,26
건설,26
당당,26
미달,26
양보,26
제로,26
수직,25
여야,25
부담,25
구조,25
총장,25
대권,25
도덕,25
파리,25
누님,25
고요,25
외국,25
강원도,25
허위,25
현대,25
희생,25
국민연금,25
당인,25
유권자,25
왜곡,25
미안,25
강행,25
변호사,25
석방,25
코미디,25
방향,25
지인,25
확대,25
쇼크,25
먼지,25
이슈,25
엄마,25
원숭이,25
꼰대,24
회장,24
기관,24
안다,24
중소기업,24
지하,24
의심,24
유튜브,24
비율,24
감방,24
밥그릇,24
엉뚱,24
연봉,24
이득,24
공식,24
언니,24
발생,24
감각,24
성공,24
진행,24
혁명,24
근본,24
리가,24
개뿔,24
