단어,tf-idf
문재인,0.5794228198016512
사람,0.2670284881453735
안철수,0.2643618698640566
대통령,0.25956195695768614
후보,0.2523954203266469
국민,0.2084295514134341
지지,0.160397089621213
나라,0.14439737993331145
생각,0.11449792245404544
홍준표,0.1108979877742676
